Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3026,76830.16894202324,195353.7246455633,17364.775524050074,13829.430409564184,0.0,0.0,0.0,138918.2041924006,3535.34511448589,0.0,322548.9340536539,0.0,0.0,0.0,707266.4007565222,0.0,0.0,0.0,0.0,162915.15282601686,17364.775524050074,707266.4007565221,1.0
 ,3027,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,326093.97595899395,0.0,0.0,0.0,707372.6458003328,0.0,0.0,0.0,284.89582653340767,162630.25699948345,17374.47231490421,707657.5416268663,1.0
 ,3028,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,329639.017864334,0.0,0.0,0.0,735013.5509932522,0.0,0.0,26066.908721631557,0.0,188697.16572111502,17374.47231490421,708946.6422716213,1.0
 ,3029,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,333184.05976967403,0.0,0.0,0.0,717911.9477286198,0.0,0.0,9779.667517219128,0.0,198476.83323833413,17374.47231490421,708132.2802114006,1.0
 ,3030,76830.16894202324,183895.6983531957,16346.28429806184,13829.430409564184,0.0,0.0,0.0,130770.27438449473,2516.8538884976583,0.0,335700.91365817166,0.0,0.0,0.0,667679.5564734084,0.0,0.0,0.0,0.0,198476.83323833413,16346.28429806184,667679.5564734082,1.0
 ,3031,76830.16894202324,161478.48339345393,14353.642968307018,13829.430409564184,0.0,0.0,0.0,114829.14374645615,524.2125587428364,0.0,336225.1262169145,0.0,0.0,0.0,590229.3241883317,0.0,0.0,0.0,0.0,198476.83323833413,14353.642968307018,590229.3241883316,1.0
 ,3032,76830.16894202324,139275.09233079918,12380.008207182149,13829.430409564184,0.0,0.0,0.0,99040.06565745719,0.0,1449.4222023820348,334775.70401453244,0.0,0.0,0.0,514880.29845882417,0.0,0.0,0.0,0.0,198476.83323833413,12380.008207182149,514880.2984588241,1.0
 ,3033,76830.16894202324,119331.94210355588,10607.2837425383,13829.430409564184,0.0,0.0,0.0,84858.2699403064,0.0,3222.1466670258833,331553.5573475066,0.0,0.0,0.0,447644.1833732542,0.0,0.0,0.0,0.0,198476.83323833413,10607.2837425383,447644.1833732542,1.0
 ,3034,53771.53083652001,108887.34994395303,9678.875550573603,9678.875550573603,0.0,0.0,0.0,77431.00440458882,0.0,0.0,331553.5573475066,0.0,0.0,0.0,398826.80493514624,0.0,0.0,0.0,0.0,198476.83323833413,9678.875550573603,398826.80493514624,1.0
 ,3035,47486.87672385556,96160.92536580752,8547.637810294002,8547.637810294002,0.0,0.0,0.0,68381.10248235201,0.0,0.0,331553.5573475066,0.0,0.0,0.0,352213.13259063195,0.0,0.0,0.0,0.0,198476.83323833413,8547.637810294002,352213.1325906319,1.0
