Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4454,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,28845.69829213946,0.0,353241.02837255684,433847.4312530351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341871.9648631452,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4455,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,29456.7466021588,0.0,346718.11165544996,412579.55536615587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290330.87016428873,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4456,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,30067.79491217814,0.0,334675.80387002195,402307.29573512217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268016.302747827,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4457,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,30678.843222197476,0.0,308584.1370015944,408889.7821238236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248507.1222681009,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4458,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,31289.891532216814,0.0,255899.0404403466,422258.07354041096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209190.31712344047,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4459,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,31289.891532216814,0.0,150027.0844934581,432430.2217563416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137240.81148735294,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4460,60025.98667092892,124058.17497968877,11027.393331527892,10804.677600767205,0.0,0.0,0.0,88219.14665222313,222.7157307606867,0.0,31512.6072629775,0.0,24586.37839524899,429286.6592298704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11027.393331527892,453873.0376251194,1.0
 ,4461,60025.98667092892,118808.34803269616,10560.74204735077,10804.677600767205,0.0,0.0,0.0,84485.93637880616,0.0,243.93555341643514,31268.671709561066,0.0,0.0,435964.476600524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10560.74204735077,435964.476600524,1.0
 ,4462,60025.98667092892,109885.7133103348,9767.61896091865,10804.677600767205,0.0,0.0,0.0,78140.9516873492,0.0,1037.0586398485557,30231.61306971251,0.0,0.0,460069.1133793333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51606.00794418335,0.0,51606.00794418335,9767.61896091865,408463.10543514986,1.0
 ,4463,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,30842.66137973185,0.0,0.0,441556.60592951614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21615.516619173228,0.0,51606.00794418335,0.0,11415.725910786543,471547.0972545262,1.0
