Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6196,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,51288.96005042238,0.0,0.0,0.0,0.0,0.0,75532.37310636975,9.361094652926259e6,2351.4069059702324,126821.33315679205,1.0
 ,6197,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,7873.305270898172,0.0,0.0,0.0,0.0,0.0,121233.06234797424,9.239861590578284e6,2351.4069059702347,129106.36761887238,1.0
 ,6198,65316.85849917311,132266.63846082555,11757.03452985116,11757.03452985116,0.0,66732.92799143518,0.0,94056.27623880928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647603.7605340712,8.592257830044214e6,11757.03452985116,647603.7605340712,1.0
 ,6199,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129520.75210681431,8.4627370779374e6,2351.406905970233,129520.7521068143,1.0
 ,6200,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129520.7521068143,8.333216325830585e6,2351.4069059702324,129520.75210681428,1.0
 ,6201,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129520.7521068143,8.203695573723771e6,2351.4069059702324,129520.75210681428,1.0
 ,6202,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,4274.0800042018645,0.0,0.0,0.0,0.0,0.0,125021.720523444,8.078673853200327e6,2351.4069059702324,129295.80052764577,1.0
 ,6203,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,34755.01898153622,0.0,0.0,0.0,0.0,0.0,92936.52159993537,7.985737331600391e6,2351.406905970255,127691.54058147146,1.0
 ,6204,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,64673.579010949274,0.0,0.0,0.0,0.0,0.0,579526.3089435984,7.406211022656793e6,11757.034529851162,644199.8879545478,1.0
 ,6205,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,86493.88219029563,0.0,0.0,0.0,0.0,0.0,38474.560327555744,7.367736462329237e6,2351.406905970233,124968.44251785136,1.0
 ,6206,13625.01585647618,27590.657109364263,2452.5028541657125,2452.5028541657125,0.0,13920.406200244583,0.0,19620.0228333257,0.0,128334.8759156402,0.0,0.0,0.0,0.0,0.0,0.0,7.367736462329237e6,2452.502854165713,128334.87591564018,1.0
 ,6207,20144.96209454454,40793.54824145269,3626.0931770180173,3626.0931770180173,0.0,20581.704872754264,0.0,29008.74541614414,0.0,189746.65702864592,0.0,0.0,0.0,0.0,0.0,0.0,7.367736462329237e6,3626.0931770180173,189746.65702864592,1.0
