Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,52,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,145926.8410091137,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,122827.01127065977,16174.249724707211,811507.1867752661,1.0
 ,53,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,148975.3494602284,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,190032.57539283508,16174.249724707211,814867.4649813748,1.0
 ,54,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,152023.8579113431,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,190032.57539283508,16174.249724707211,811507.1867752661,1.0
 ,55,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,155072.3663624578,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,190032.57539283508,16174.249724707211,811507.1867752661,1.0
 ,56,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,158120.8748135725,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,190032.57539283508,16174.249724707211,811507.1867752661,1.0
 ,57,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,161169.3832646872,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,257238.13951501035,16174.249724707211,814867.4649813748,1.0
 ,58,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,164217.8917158019,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,257238.13951501035,16174.249724707211,811507.1867752661,1.0
 ,59,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,167266.4001669166,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,257238.13951501035,16174.249724707211,811507.1867752661,1.0
 ,60,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,23210.17768776726,20161.669236652568,170314.9086180313,0.0,882073.0291035501,0.0,0.0,0.0,0.0,0.0,0.0,257238.13951501035,16174.249724707211,882073.02910355,1.0
 ,61,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,173363.41706914597,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,257238.13951501035,16174.249724707211,811507.1867752661,1.0
