Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,56,49569.391738951395,0.0,0.0,8922.490513011251,0.0,0.0,0.0,0.0,0.0,8922.490513011251,28282.13088366384,22306.22628252813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,0.0,22306.22628252813,1.0
 ,57,56848.51696026441,31027.327695884658,2757.9846840786363,10232.733052847594,0.0,15654.321066830338,0.0,22063.87747262909,0.0,7474.748368768958,20807.38251489488,163007.03821847477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,2757.9846840786363,163007.03821847477,1.0
 ,58,43720.62022591666,88534.25595748122,7869.7116406649975,7869.711640664999,0.0,44668.48327241452,0.0,62957.69312531998,0.0,0.0,20807.38251489488,411807.2544466731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,7869.7116406649975,411807.2544466731,1.0
 ,59,56848.51696026441,147032.96006281296,13069.596450027819,10232.733052847594,0.0,74183.02945035789,0.0,104556.77160022255,2836.8633971802224,0.0,23644.245912075105,679481.9698370107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,13069.596450027819,679481.9698370108,1.0
 ,60,56848.51696026441,183915.0806859838,16348.00717208745,10232.733052847594,0.0,92791.28870876835,0.0,130784.0573766996,6115.274119239855,0.0,29759.52003131496,845920.7351758744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,16348.00717208745,845920.7351758743,1.0
 ,61,56848.51696026441,203306.71111672313,18071.707654819835,10232.733052847594,0.0,102575.01264875737,0.0,144573.66123855868,7838.974601972241,0.0,37598.494633287206,933429.7767457925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,18071.707654819835,933429.7767457925,1.0
 ,62,56848.51696026441,212812.41230826196,18916.65887184551,10232.733052847594,0.0,107370.9557565951,0.0,151333.27097476408,8683.925818997917,0.0,46282.42045228512,976326.3657506541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,18916.65887184551,976326.365750654,1.0
 ,63,56848.51696026441,205588.0794026925,18274.495946906,10232.733052847594,0.0,103726.03899463845,0.0,146195.967575248,8041.762894058404,0.0,54324.183346343525,943724.9581069594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,18274.495946906,943724.9581069595,1.0
 ,64,56848.51696026441,185816.22092429156,16516.997415492584,10232.733052847594,0.0,93750.4773303359,0.0,132135.97932394067,6284.264362644989,0.0,60608.44770898851,854500.0529768467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,16516.997415492584,854500.0529768467,1.0
 ,65,56848.51696026441,151215.46858709006,13441.374985519116,10232.733052847594,0.0,76293.24441780649,0.0,107530.99988415293,3208.641932671521,0.0,63817.08964166003,698356.4689991499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91842.23009312531,13441.374985519116,698356.46899915,1.0
