Informations,Time,MeOH biogas H2,Biogas,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6455,52101.06288778051,65482.21018682795,31675.391871231222,2815.5903885538864,1977.2112274405633,0.0,0.0,0.0,838.3791611133236,0.0,134602.9307780086,0.0,122500.76967665253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815.590388553887,122500.76967665253,1.0
 ,6456,52101.06288778051,65482.21018682795,21953.79954594811,1951.448848528721,1977.2112274405633,0.0,0.0,0.0,0.0,25.76237891184246,134577.16839909676,0.0,84357.47475530562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.448848528721,84357.47475530562,1.0
 ,6457,41569.782802869486,52246.17510743159,17747.48274123945,1577.5540214435068,1577.554021443507,0.0,0.0,0.0,0.0,0.0,134577.16839909676,0.0,68194.70243321262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.5540214435073,68194.70243321262,1.0
 ,6458,52101.06288778051,65482.21018682795,10663.71725487687,947.8859782112775,1977.2112274405633,0.0,0.0,0.0,0.0,1029.3252492292859,133547.84314986746,0.0,40975.33355186439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.8859782112776,40975.33355186439,1.0
 ,6459,52101.06288778051,65482.21018682795,9539.679640199445,847.971523573284,1977.2112274405633,0.0,0.0,0.0,0.0,1129.2397038672793,132418.60344600017,0.0,36656.21901746637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.971523573284,36656.21901746637,1.0
 ,6460,52101.06288778051,65482.21018682795,7650.914632870536,680.0813006996032,1977.2112274405633,0.0,0.0,0.0,0.0,1297.1299267409602,131121.47351925922,0.0,29398.639476805034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0813006996032,29398.639476805038,1.0
 ,6461,52101.06288778051,65482.21018682795,6773.985222126674,602.1320197445932,1977.2112274405633,0.0,0.0,0.0,0.0,1375.0792076959701,129746.39431156324,0.0,26029.038216021745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.1320197445932,26029.038216021745,1.0
 ,6462,52101.06288778051,65482.21018682795,8340.811010542247,741.4054231593109,1977.2112274405633,0.0,0.0,0.0,0.0,1235.8058042812522,128510.588507282,1763.4094612540696,30286.15684675452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.4054231593109,32049.566308008587,1.0
 ,6463,47559.83556994415,59774.65672725221,20304.829711438993,1804.8737521279106,1804.8737521279108,0.0,0.0,0.0,0.0,0.0,128510.588507282,47612.05545385988,30409.252712344467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.8737521279106,78021.30816620434,1.0
 ,6464,52101.06288778051,65482.21018682795,29932.896229417103,2660.7018870592983,1977.2112274405633,0.0,0.0,0.0,683.4906596187348,0.0,129194.07916690073,86407.06360144941,29252.571380127432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.7018870592988,115659.63498157688,1.0
